ProductID	Product	Model	Manufacturer	typeCode	LocationCode	MSRP	UNITCOST	DISCOUNTRATE	QTY
1110220360	ThinkPad	N1	Lenovo	011	001	500	300	0	100
1110220364	ThinkPad	N1	Lenovo	011	003	450	260	0	100
1110220365	ThinkPad	N1	Lenovo  012	003	470	280	0	10
1110220366	LaserJet	HP	22HP	013	004	150	100	0	12
1110220361	LaserJet	HP	22HP	011	001	160	105	0	1
1110220362	XPS	D2	Dell	012	002	790	510	0	77
1110220363	XPS D2	Dell	013	003	800	520	0	25
1110220367	XPS	D2	Dell	011	004	750	520	0	6
1110220368	ThinkPad	N1  Lenovo 	011	002	500	300	0	100
1110220369	ThinkPad	N1	Lenovo	011	004	450	260	2	2
1110220370	ThinkPad	N1	Lenovo	012	005	470	280	0	10
1110220371 	LaserJet	HP	22HP	013	002	150	112	0	12
1110220373 	LaserJet	HP	22HP	011	003	150	112	2	1
1110220376	EPSON	D3	Dell	011	004	220	120	0	11
1110220378	YOGA	3	Lenovo	011	004	220	120	0	11
1110220379	YOGA 	4	Lenovo	011	004	220	120	198	10	
1110220380	YOGA 	5	Lenovo	011	004	220	1200	198	10	
